Номер операции      Угол элевации       Угол курса
545                   37.0944               45.722
546                   37.157               46.5242
547                   37.2198               47.3263
548                   37.3459               45.722
549                   37.3459               45.722
550                   37.4093               46.5242
551                   37.5365               44.9199
552                   37.5365               44.9199
553                   37.6004               45.722
554                   37.6645               46.5242
555                   37.7287               47.3263
556                   37.8578               45.722
557                   37.8578               45.722
558                   37.9227               46.5242
559                   37.9877               47.3263
560                   38.0529               46.5242
561                   38.1838               48.1285
562                   38.2496               47.3263
563                   38.2496               47.3263
564                   38.3156               46.5242
565                   38.3817               45.722
566                   38.4481               46.5242
567                   38.5147               45.722
568                   38.5814               46.5242
569                   38.7155               44.9199
570                   38.7155               44.9199
571                   38.8503               46.5242
572                   38.8503               46.5242
573                   38.9181               47.3263
574                   38.986               46.5242
575                   39.0541               45.722
576                   39.1225               46.5242
577                   39.2597               44.9199
578                   39.2597               44.9199
579                   39.3286               45.722
580                   39.3978               46.5242
581                   39.4671               47.3263
582                   39.5367               46.5242
583                   39.6064               47.3263
584                   39.6764               46.5242
585                   39.7465               47.3263
586                   39.8169               46.5242
587                   39.8875               45.722
588                   39.8875               45.722
589                   39.9583               46.5242
590                   40.0293               45.722
591                   40.1005               46.5242
592                   40.1719               47.3263
593                   40.2435               46.5242
594                   40.3874               44.9199
595                   40.3874               44.9199
596                   40.4597               45.722
597                   40.5322               46.5242
598                   40.6049               47.3263
599                   40.6778               46.5242
600                   40.8242               48.1285
601                   40.8242               48.1285
602                   40.8978               47.3263
603                   40.9716               46.5242
604                   41.0456               45.722
605                   41.1198               46.5242
606                   41.1942               45.722
607                   41.2689               46.5242
608                   41.3438               45.722
609                   41.4189               46.5242
610                   41.4943               45.722
611                   41.5698               46.5242
612                   41.6456               45.722
613                   41.7216               46.5242
614                   41.7979               45.722
615                   41.8743               46.5242
616                   41.8743               46.5242
617                   41.951               45.722
618                   42.028               46.5242
619                   42.1825               48.1285
620                   42.1825               48.1285
621                   42.2601               47.3263
622                   42.2601               47.3263
623                   42.3379               46.5242
624                   42.416               45.722
625                   42.5729               47.3263
626                   42.5729               47.3263
627                   42.6517               46.5242
628                   42.7307               45.722
629                   42.8099               46.5242
630                   42.8894               45.722
631                   42.8894               45.722
632                   43.0491               47.3263
633                   43.0491               47.3263
634                   43.1293               46.5242
635                   43.1293               46.5242
636                   43.2098               45.722
637                   43.2905               46.5242
638                   43.4526               44.9199
639                   43.4526               44.9199
640                   43.534               45.722
641                   43.6157               46.5242
642                   43.7797               44.9199
643                   43.7797               44.9199
644                   43.8621               45.722
645                   43.8621               45.722
646                   43.9448               46.5242
647                   44.0277               47.3263
648                   44.1108               46.5242
649                   44.1942               47.3263
650                   44.2779               46.5242
651                   44.3618               45.722
652                   44.4459               46.5242
653                   44.4459               46.5242
654                   44.6149               44.9199
655                   44.6149               44.9199
656                   44.6999               45.722
657                   44.785               46.5242
658                   44.9561               48.1285
659                   44.9561               48.1285
660                   45.042               47.3263
661                   45.1282               46.5242
662                   45.2147               45.722
663                   45.2147               45.722
664                   45.3883               47.3263
665                   45.3883               47.3263
666                   45.4756               46.5242
667                   45.6508               44.9199
668                   45.6508               44.9199
669                   45.7388               45.722
670                   45.8271               46.5242
671                   45.9157               47.3263
672                   46.0045               46.5242
673                   46.0045               46.5242
674                   46.0936               45.722
675                   46.0936               45.722
676                   46.2726               47.3263
677                   46.2726               47.3263
678                   46.3625               46.5242
679                   46.4526               45.722
680                   46.543               46.5242
681                   46.6337               45.722
682                   46.7247               46.5242
683                   46.816               47.3263
684                   46.9075               46.5242
685                   46.9993               45.722
686                   47.1837               47.3263
687                   47.1837               47.3263
688                   47.2763               46.5242
689                   47.2763               46.5242
690                   47.3692               45.722
691                   47.4624               46.5242
692                   47.5559               45.722
693                   47.6496               46.5242
694                   47.7436               45.722
695                   47.9325               47.3263
696                   47.9325               47.3263
697                   48.0273               46.5242
698                   48.1225               45.722
699                   48.1225               45.722
700                   48.2179               46.5242
701                   48.3136               45.722
702                   48.4096               46.5242
703                   48.5059               45.722
704                   48.6025               46.5242
705                   48.6994               47.3263
706                   48.894               45.722
707                   48.894               45.722
708                   48.9917               46.5242
709                   49.188               44.9199
710                   49.188               44.9199
711                   49.2866               45.722
712                   49.4847               47.3263
713                   49.4847               47.3263
714                   49.5842               46.5242
715                   49.6839               47.3263
716                   49.784               46.5242
717                   49.8844               47.3263
718                   49.9851               46.5242
719                   50.086               45.722
720                   50.2889               47.3263
721                   50.2889               47.3263
722                   50.3907               46.5242
723                   50.4929               45.722
724                   50.5954               46.5242
725                   50.6981               45.722
726                   50.8012               46.5242
727                   50.9046               45.722
728                   51.1122               47.3263
729                   51.1122               47.3263
730                   51.2165               46.5242
731                   51.3211               45.722
732                   51.426               46.5242
733                   51.5312               45.722
734                   51.6368               46.5242
735                   51.7426               45.722
736                   51.8487               46.5242
737                   51.8487               46.5242
738                   51.9552               47.3263
739                   52.0619               46.5242
740                   52.169               45.722
741                   52.2764               46.5242
742                   52.3841               45.722
743                   52.4921               46.5242
744                   52.6004               47.3263
745                   52.709               46.5242
746                   52.9272               44.9199
747                   52.9272               44.9199
748                   53.0368               45.722
749                   53.1466               46.5242
750                   53.2568               47.3263
751                   53.3674               46.5242
752                   53.4782               47.3263
753                   53.5894               46.5242
754                   53.7009               45.722
755                   53.8127               46.5242
756                   54.0372               48.1285
757                   54.0372               48.1285
758                   54.1499               47.3263
759                   54.263               46.5242
760                   54.263               46.5242
761                   54.3764               45.722
762                   54.4902               46.5242
763                   54.6042               45.722
764                   54.7186               46.5242
765                   54.8333               45.722
766                   55.0637               47.3263
767                   55.0637               47.3263
768                   55.1793               46.5242
769                   55.1793               46.5242
770                   55.2953               45.722
771                   55.4117               46.5242
772                   55.6453               44.9199
773                   55.6453               44.9199
774                   55.7626               45.722
775                   55.8802               46.5242
776                   55.9982               45.722
777                   55.9982               45.722
778                   56.1165               46.5242
779                   56.1165               46.5242
780                   56.2351               47.3263
781                   56.2351               47.3263
782                   56.354               46.5242
783                   56.4733               45.722
784                   56.5929               46.5242
785                   56.7129               45.722
786                   56.8331               46.5242
787                   56.8331               46.5242
788                   56.9537               47.3263
789                   57.0747               46.5242
